item,text
R46,"Monitor Compute Errors – The BE shall trap, flag and repair inf’s, NaN’s, underflows, overflows and other computation errors."
R47,Monitor Processes – The BE shall periodically or upon request check PID’s and assure that all started tasks are alive and running.
R48,Monitor Processors – The BE shall periodically or upon request check Backend physical processors and assure that all needed processors are alive and responding.
R49,Monitor Networks – The BE shall periodically or upon request check all Backend internal networks and assure that all communication connections are intact and functioning.
R50,Start Process – The BE shall be able to initiate a processing task on any Backend processor.
R51,Stop Process – The BE shall be able to signal a kill for any Backend process.
R52,Alter Priority – The BE shall be able to alter the priority of any of the BE tasks.
R53,Reboot Processor – The BE shall be able to initiate a reboot of any Backend a physical processor.
R54,Reboot network – The BE shall be able to initiate a reboot of any internal network.
R55,Offload – The BE shall be able to redistribute internal workload among its processors.
R56,General – BE processes shall not violate archive data requirements.
R57,All processes shall be reversible;
R58,"Data Integrity – the Backend System shall maintain input data fidelity and dynamic range across all processing, manipulation and I/O functions."
R59,Error Handling – the system shall be capable of flagging and marking corrupted data segments and proceeding without interruption or effect on other data.
R60,Input – The BE System shall be capable of accepting an aggregate data input stream from the Correlator of a minimum of 1.6 Gbytes/sec.
R61,"This must be done simultaneously with the output stream, but not necessarily over the same interconnects."
R62,Output – The BE System shall be capable of delivering an output data stream to the e2e System of a minimum of 25 MBytes/sec.
R63,CPU – The total processor capability of the BE System shall be (combination of numbers of processors and individual processor speed) sufficient to accomplish all processing tasks while avoiding loss or delay on the input and output data streams.
R64,Memory – The BE System shall have sufficient (amount TBD) memory with sufficient (rate TBD) access speeds to accomplish all processing tasks while avoiding loss or delay on the input and output data streams.
R65,Excess Storage – The BE System shall have sufficient storage (memory and/or disk) with sufficient access speeds to meet short duration
R66,"Applications – all math/science application software shall take optimal advantage of all language, compiler, and system computational features and resources to reduce run times to the minimum practical level."
R67,"Management – all management software functions shall take optimal advantage of all language, compiler and system features and resources to reduce overheads to the minimum practical level."
R68,"I/O – all input and output, and storage and retrieval operations shall take optimal advantage of all system resources to reduce overhead and latency to the minimal practical level."
R69,Processing – all data processing functions shall be chainable (outputs pipeable to inputs) and repeatable in the processing pipeline in cases where this makes computational sense.
R70,"General - Operating system, message passing and other middle-ware, and programming language(s) used shall follow industry standards and be commonly available and widely used."
R71,Auto-correction – the Backend System shall be self-monitoring.
R72,Software – the software part of the system shall be able to perform without total system restart due to internal failure between array maintenance windows.
R73,"Hardware – the hardware part of the system shall be able to perform indefinitely without complete loss of service, except in the event of total failure of primary and backup power."
R74,Correlator mode changes – the system shall be capable of responding in a loss-less manner to I/O and processing changes arising from Correlator mode changes.
R75,Loss of e2e – the system shall continue to operate in a loss-less manner in the event of a temporary (time duration TBD) loss of availability of the e2e System.
R76,"Loss of Correlator – the system shall be able to complete processing of all onboard data, deliver the results to the End-to-End System and maintain availability for immediate resumption of operations once Correlator access is restored."
R77,Loss of M&C – the system shall continue to operate during the absence of
R78,Standby Mode – the system shall be able to sit at idle and resume operations with minimal (amount TBD) delay.
R79,"Hardware Accessibility – all system processing and interconnect hardware shall be readily accessible for maintenance, repair, replacement and/or reconfiguration."
R80,Software Accessibility – all systems and application source code shall be available to or on the systems that execute it.
R81,Debugging – all software application modules shall be debuggable.
R82,"Processes – all software processes shall be killable, restartable, debuggable and testable without affecting normal operations."
R83,Software tools – software tools and pre-built applications that do not have source code available shall come with a complete diagnostic package and customer support.
R84,Operating Systems – operating system software shall either have source code available or come with sufficient diagnostics and customer support.
R85,"Hardware – I/O, communications, and processing hardware shall be easily expandable, reconfigureable, augmentable and replaceable to meet increasing data transfer and processing demands imposed by EVLA science, Correlator changes, and availability of new hardware."
R86,"Transparency – 3.7.1, above, shall be accomplished in manner that is transparent to processing, communications and I/O software functions with the possible exception of recompilation of executables."
R87,"Seamlessness – 3.7.1, above, shall be accomplished in a manner that is seamless, in that it does not affect hardware modules or software functionality that it meets at interfaces."
R88,Performance – the Backend system shall ultimately be scaleable to an extent that it will be capable of handling up to two Gbytes per second per Correlator output channel in real-time.
R89,All users of the Backend System must be uniquely identified.
R90,"In order to monitor all past access to the system, all attempts to access the system should be logged."
R91,Systems operations should be given unrestricted access to all aspects of the system and should have the authority to grant and revoke privileges on a per-user basis.
R92,"All users of the system shall login using some form of unique identification. (e.g., username and password)"
R93,"All login attempts shall be done in a secure manner. (e.g., encrypted passwords)"
R94,A system administrator shall have unrestricted access to all aspects of the system.
R95,"Each user shall have a set of system access properties that defines the user’s privileges within the system. (e.g., the subsystems a user may control or system tools the user may access)."
R96,The administrator shall have the ability to create and add a new user to the system.
R97,The administrator shall have the ability to remove a user from the system.
R98,The administrator shall have the ability to edit a user’s system access properties.
R99,The administrator shall have the ability to block all access to the system for all users or selectively by user. (All blocked users with active sessions shall automatically be logged off.)
R100,"Operations Activities – the system shall continue operations, although not necessaril y at full capacity, on all unaffected resources during partial"
R101,"Test Mode – the system shall be able to handle non-real-time operations in a transparent fashion (i.e., as if real-time)."
R102,Replaceability –modular design principles shall be employed to the maximum extent possible.
R103,Maximal practical use of available “hot- swappable” devices and components shall be made.
R104,specifications and configuration information shall be readily available.
R105,Software Coding Practices– software system and application code shall be well documented and written in a generally familiar language or languages (preferably not more than two).
R106,Software shall be written in a style that is easily readable and using practices that allow for minimal confusion.
