item,text
R49,[SRSreq 48] The HATS-GUI shall interact with the HOST OS to find files in directories. (This capability is necessary for the HATS-GUI to display file lists.) [SRSreq 49] The HATS-GUI shall interact with the HOST OS to compare time stamps for files.
R50,These time stamps must be reported with a precision of one second or less.
R51,"[SRSreq 50] The HATS-GUI shall allow a user to create an application minimally consisting of a lexical specification file, a grammar file, a user-defined functions file, and application configuration information."
R52,The user shall be able to name this application. [SRSreq 51] All files associated with a given application shall be stored in one directory. [SRSreq 52] The directory in which application files are stored shall be named with the application name. [SRSreq 53] There shall be exactly one file describing the lexical specification of inputs associated with an application.
R53,It shall have the file extension .spec. [SRSreq 54] There shall be exactly one file describing the grammar of inputs associated with an application.
R54,It shall have the file extension .grm. [SRSreq 55] There shall be exactly one file describing the interpretation of function symbols associated with an application.
R55,This file shall be written in ML and have the file extension .lib. [SRSreq 56] <deleted> [SRSreq 57] The HATS-GUI shall suggest a file name for the user whenever it prompts the user to enter a file name.
R56,The HATS-GUI shall suggest the same file name for files copied to a different directory.
R57,The HATS-GUI shall suggest a file name with a sequentially numbered extension for files copied to the same directory.
R58,"For example, if NatLang.txt exists, a suggested file name would be NatLang.txt.2. [SRSreq 58] An application shall have associated with it an application configuration."
R59,Input and Output The types of outputs generated by HATS-SML are described in section 2.1.4. [SRSreq 59] The HATS-GUI shall display output written to the standard output and standard error streams in a tab-selectable window.
R60,"Text in this window shall be cleared prior to executing individual HATS- SML programs, unless the programs are contained in a program script."
R61,"In the case of a script, the window contents shall be cleared prior to executing the script."
R62,Display Windows [SRSreq 62] The system shall open a new window when the user selects to display output. [SRSreq 63] Display windows opened by the system shall have buttons for closing the windows. [SRSreq 64] A navigation window shall be available.
R63,"Navigation windows are discussed in section 3.2.3.3.4. [SRSreq 65] Each active display window shall have a mouse cursor, which indicates the location of the pointing device in the window. [SRSreq 66] Each display window shall have a keyboard cursor to track the current location in the display. [SRSreq 67] The keyboard cursor shall be movable by the arrow keys. [SRSreq 68] The keyboard cursor shall be set to the location of the mouse cursor when the pointing device is clicked."
R64,"Stimulus/Response This section details the response the HATS-GUI shall make when it receives stimulus either from the user, the Host OS, or HATS-SML."
R65,"File Menu [SRSreq 69] When a user selects the File/Select menu item, the HATS-GUI shall provide the user with a list of files in the currently open application and allow the user to select a file."
R66,"If no application is currently open, the HATS-GUI will prompt the user to select and open an application, then prompt the user to select a file. [SRSreq 70] When a user selects the File/Save As menu item, the HATS-GUI shall prompt the user to enter a new name."
R67,A new file shall be created in the currently open application with the newly entered file name.
R68,"The contents of the selected file shall be written into the new file, and the new file shall become the currently selected file. [SRSreq 71] When a user selects the File/Delete menu item, the HATS-GUI shall prompt the user to confirm the deletion operation."
R69,"If the user confirms, the currently selected file shall be deleted."
R70,"No file shall be currently selected at the end of this operation. [SRSreq 72] When a user selects the File/Edit menu item, the HATS-GUI shall request that the operating system start a process and load that process with the editor specified by the application configuration."
R71,The name of a selected file shall be passed to the editor as a command line argument.
R72,"The editor started by the HATS-GUI shall be the editor associated with the file in the application configuration, or if there is no editor associated with the file, then the editor associated with the file type of the file in the application configuration."
R73,"If no editor is associated with either the file or the file type, then the default editor shall be used."
R74,"If no default editor has been selected, then the HATS-GUI shall present a list of the configured editors and allow the user to select an editor."
R75,"If no editors have been configured, then the HATS-GUI shall inform the user that an editor must be configured before starting an editor. [SRSreq 73] When a user selects the File/Exit menu option, the HATS-GUI shall request the host operating system to kill all currently active HATS-SML processes started by the HATS-GUI and halt the HATS-GUI process."
R76,"If changes have been made to the configuration but have not been saved, the user shall be prompted to save the configuration."
R77,"If the user agrees, the configuration shall be saved."
R78,"If the user does not agree, the configuration shall not be saved."
R79,"Application Menu [SRSreq 74] When a user selects the Application/Select menu item, the HATS-GUI shall display a list of directory names in the current working directory, allow a user to navigate the directory structure, and allow a user to select a previously created application."
R80,"This application becomes the currently selected application. [SRSreq 75] When a user selects the Application/Close menu item, the HATS-GUI shall close the currently selected application."
R81,"If the user does not agree, the configuration shall not be saved. [SRSreq 76] When a user selects the Application/Save menu item, the HATS-GUI shall save all application configuration information to nonvolatile storage. [SRSreq 77] When a user selects the Application/Save As menu item, the HATS-GUI shall prompt the user for a new application name."
R82,The HATS-GUI shall create a new directory at the same level as the currently selected application.
R83,"All files in the application directory, including all subdirectories, shall be copied to the new directory, and the new directory shall become the currently selected application."
R84,"[SRSreq 78] When a user selects the Application/Delete menu item, the HATS-GUI shall prompt the user to confirm the deletion operation."
R85,"If the user confirms, all files in the application directory shall be deleted and the application directory itself shall be deleted."
R86,"No application is currently selected at the end of this operation. [SRSreq 79] When deleting an application directory, if the application directory contains a subdirectory, the system shall confirm the deletion of the subdirectory with the user before continuing."
R87,"If the user does not confirm the deletion of the subdirectory, the application director shall not be deleted."
R88,"Configure Menu [SRSreq 80] When a user selects the Configure menu options, the HATS-GUI shall provide a list of elements in the application configuration, allow the user to select an element, then prompt the user for a value for the configuration element."
R89,"Run Menu [SRSreq 81] When a user selects the Run/Generate Parser menu option, the HATS-GUI shall generate the parser using the MakeParser HATS-SML program as described in Appendix D. [SRSreq 82] When a user selects the Run/Parse Target menu option, the HATS-GUI shall parse the selected target program by using the ParseTarget HATS-SML programs as described in Appendix D."
R90,"If no target program is selected, the HATS-GUI shall first prompt the user to select a target program. [SRSreq 83] When a user selects the Run/Parse Program menu option, the HATS-GUI shall parse the selected transformation language program by using the ParseTlp HATS-SML programs as described in Appendix D."
R91,"If no target program is selected, the HATS-GUI shall first prompt the user to select a transformation language program. [SRSreq 84] When a user selects the Run/Execute Transforms menu option, the HATS-GUI shall execute the ApplyTransformations HATS-SML programs as described in Appendix D."
R92,"This process is further described in Section 3.2.3. [SRSreq 85] When a user selects the Run/Pretty-print menu option, the HATS-GUI shall execute the Pretty- print HATS-SML programs as described in Appendix D."
R93,"View Menu [SRSreq 86] When a user selects the View/SDT menu option, the HATS-GUI shall prompt the user to select an SDT file in the current application."
R94,The file list shall include SDTs in the application.
R95,"The viewing of outputs is detailed in Section 3.2.3. [SRSreq 87] When a user selects the View/Text menu option, the HATS-GUI shall prompt a user to select a pretty-printed text file in the current application."
R96,"The viewing of text outputs is detailed in Section 3.2.3. [SRSreq 88] When a user selects the View/Standard Error menu option, the HATS-GUI shall display the standard error screen showing all outputs written to the standard error stream since the most recent clearing of this data."
R97,"The viewing of errors is detailed in Section 3.2.3. [SRSreq 89] When a user selects the View/Standard Output menu option, the HATS-GUI shall display the standard error screen showing all outputs written to the standard output stream since the most recent clearing of this data."
R98,"Mouse and Keyboard actions Section 3.2.3.3.4 details keyboard and mouse selection and navigation. [SRSreq 90] When viewing an SDT, a single left mouse click on an expandable displayed node shall expand the node by displaying the node’s children or collapse the node by hiding the node’s children."
R99,"[SRSreq 91] When a displayed node is expanded, the number of levels of children added to the displayed graph shall be determined by the application configuration. [SRSreq 92] When viewing an SDT, a single left mouse click on an already-expanded displayed node shall collapse the displayed node."
R100,HATS-SML Completion [SRSreq 93] The HATS-GUI shall collect process exit codes from HATS-SML processes.
R101,[SRSreq 94] The GUI shall allow the user to import a file into the selected application.
R102,Parse/Execute Transformation The HATS-GUI shall facilitate parsing transformation language programs and target files.
R103,The HATS-GUI shall orchestrate executing transformation language programs.
R104,The HATS-GUI shall make these data sets available for viewing and/or saving as permanent files in the application.
R105,"[SRSreq 95] The HATS-GUI shall use the protocol and program signatures listed in Appendix D when executing HATS-SML programs. [SRSreq 96] To perform a transformation in an application, the HATS-GUI shall execute the following sequence of actions: • The HATS-GUI shall confirm that the transformation language program exists. (It is an error if the program does not exist.) • The HATS-GUI shall check that the parser file is younger than the grammar and lexical specification files and that the parser file was generated from the grammar and lexical specification files."
R106,"If this is not the case, the HATS-GUI shall generate a new parser file. • The HATS-GUI shall check that a parsed version of the transformation language program exists and is younger than the parser file and the transformation language program file."
R107,"If it is not, the HATS-GUI shall generate a new parsed version of the transformation language program. • The HATS-GUI shall start the FindTarget program using the transformation language program as input."
R108,"• The HATS-GUI shall take the list of target program files generated by FindTarget, and for each file in the list it shall check that a parsed version of the target program exists and is younger than the target parser file and the target program file."
R109,"If it is not, the HATS-GUI shall generate a new parsed version of the target program. • The HATS-GUI shall start the ApplyTransformation program in HATS-SML and pass the parsed transformation language program file name, the user defined library file name, and the output file name to the ApplyTransformation program."
R110,The HATS-GUI shall redirect the standard output and standard error streams and capture any text written to those streams. [SRSreq 97] <deleted>. [SRSreq 98] The HATS-GUI shall allow the user to continue working while transformations are taking place.
R111,"Thus a user shall be able to edit files, view output, and transmit other problems to HATS-SML while waiting for HATS-SML to generate output. [SRSreq 99] The HATS-GUI shall allow the user to execute a script file."
R112,A script file shall contain a linear sequence of HATS-SML programs.
R113,"The HATS-GUI shall begin with the first command and execute the commands sequentially until either an error occurs or all commands in the script file have been executed. [SRSreq 100] Prior to starting the execution of a script file, the display screens for the standard error and the standard output shall be cleared."
R114,[SRSreq 101] The HATS-GUI shall allow a user to select output files in the application to display. [SRSreq 102] The HATS-GUI shall allow a user to display selected output files.
R115,The manner in which the output is displayed shall depend on the type of the output. [SRSreq 103] <deleted>
R116,Displayed Node and Text Selection [SRSreq 104] The user shall be able to select an arbitrary set of displayed nodes in a displayed graph.
R117,Selected displayed nodes shall be indicated visually.
R118,The following methods shall be used to select displayed nodes. • A single node shall be selected by right-clicking the mouse cursor on the node. • A single node shall be selected by moving the keyboard cursor to the node (using the tab key) and pressing the enter key. • Clicking and dragging the pointing device selection rectangle around a set of displayed nodes shall select a set of adjacent nodes. • A set of nodes shall be selected by holding the shift key while selecting nodes using the methods specified previously in this section. [SRSreq 105] The user shall be able to deselect all selected displayed nodes by • clicking either the right or left mouse buttons while the mouse cursor is not pointed at any displayed nodes and the shift key is not depressed;
R119,"• by pressing the escape key. [SRSreq 106] When viewing an SDT, selecting nodes shall result in the highlight of all displayed nodes in the smallest well-formed tree of the selected nodes. [SRSreq 107] When the system displays a navigation window, the user shall be able to select a current SDT location by clicking the mouse cursor in the navigation window."
R120,"The center of the displayed graph will be the displayed node closest to the mouse cursor when the mouse is clicked. [SRSreq 108] When both an SDT and a pretty-printed text display corresponding to a single transformed target file are open, highlighting and cursor location motion shall be mirrored in the two windows."
R121,Display Windows [SRSreq 109] The user shall be able to resize windows dynamically.
R122,"When displayed graph windows are resized, the HATS-GUI shall respond by utilizing the space available. [SRSreq 110] The display of an SDT shall also result in the display of text from leaf nodes in a text display area. [SRSreq 111] The text displayed in the text display area shall correspond to the concatenation of the node labels (separated by spaces) of the leaf nodes of the displayed graph (in-order traversal, left to right)."
R123,"If a leaf displayed node corresponds to a non-terminal SDT node, the label in the text window shall be surrounded by pointed brackets (<>)."
R124,"For example, if a non-terminal TERM appears in a leaf node, its text representation shall be <TERM>."
R125,Appendix G gives an example of the display of text associated with an SDT. [SRSreq 112] The HATS-GUI shall provide for the copying of text from the text display area to a system buffer available for pasting into other applications (such as an editor). [SRSreq 113] The user shall be able to display more than one SDT at a time.
R126,Each SDT shall be displayed in a separate window.
R127,[SRSreq 114] The HATS-GUI shall provide for the manipulation and display of SDTs. [SRSreq 115] SDTs shall be displayed as directed acyclic graphs with nodes and edges.
R128,"That node will correspond to the root of the SDT. [SRSreq 117] When a displayed node and its children are displayed simultaneously, the parent node shall be displayed higher than the children. [SRSreq 118] All displayed children of a single node shall appear at the same height. [SRSreq 119] The user shall be able to control the display by choosing the color and shapes of displayed nodes based on node type."
R129,The HATS-GUI shall use the shape and color of displayed node types stored in the application configuration to display nodes.
R130,[SRSreq 120] The user shall be able to expand displayed nodes (provided it is possible to expand the selected nodes).
R131,The HATS-GUI shall change the graph display by adding the descendant nodes to the displayed graph (thus changing the expandable nodes to internal nodes). [SRSreq 121] The user shall be able to collapse displayed nodes.
R132,The HATS-GUI shall change the displayed graph by removing all descendants of the selected displayed nodes (thus changing the internal nodes to non-expandable leaf nodes). [SRSreq 122] The user shall be able to hide a set of selected displayed nodes.
R133,"The HATS-GUI shall change the display by removing the selected nodes from the display and changing the parent and descendant nodes of the removed nodes to nodes with hidden descendants and parents, respectively. [SRSreq 123] The user shall be able to issue an unhide instruction that reverses the hide instruction for all displayed nodes. [SRSreq 124] After issuing the unhide instruction, a user shall be able to issue a rehide instruction that reverses the unhide instruction."
R134,All displayed nodes hidden before the most recent unhide instruction shall become hidden. [SRSreq 125] The HATS-GUI shall allow the user to expand the SDT by a predetermined number of node levels.
R135,The number of levels expanded is set in the application configuration. [SRSreq 126] The HATS-GUI shall provide the function to fully expand a sub-tree regardless of the node expansion level in the application configuration. [SRSreq 127] The user shall be able to view multiple SDTs simultaneously. [SRSreq 128] SDT displays shall also provide the user with a view of text associated with the leaves of the displayed sub-tree.
R136,This text shall be copy-and-pasteable in the host operating system.
R137,"Thus, text displayed in a HATS-GUI window can be pasted into other applications such as text editors that may be running concurrently with the HATS-GUI. [SRSreq 129] SDT displays shall provide the user with the option to refresh the display."
R138,"The new SDT display shall approximate the previous SDT display by expanding the SDT to the same number of nodes, if this is possible."
R139,"Navigation [SRSreq 130] If a displayed graph or a text display is too large to fit inside its window, the windows shall have scroll bars attached to them."
R140,Dragging scrollbar buttons shall scroll the display.
R141,"Pressing the arrow keys of the keyboard shall also scroll the display. [SRSreq 131] For text windows, the keyboard cursor location shall move according the following rules: • A left arrow key moves the cursor to the left one character."
R142,"[SRSreq 133] For displayed graph windows, the keyboard cursor location shall move according the following rules: • A left arrow key moves the cursor to the next unhidden node to the left."
R143,"If there is no such node, the cursor does not move. [SRSreq 134] The pointing-device cursor shall track the motion of the pointing device."
R144,"The keyboard cursor shall move to the text element or graph node closest to the pointing-device cursor when the pointing device is clicked. [SRSreq 135] If the displayed graph of the entire SDT is too large for the window, a separate, small window with a compressed view of the SDT shall be displayed."
R145,A small box will be displayed showing the part of the SDT currently displayed in the main tree display window. [SRSreq 136] The user shall be able to turn the navigation window on and off. [SRSreq 137] The HATS-GUI shall provide the user the capability to search SDTs.
R146,The user shall enter a search pattern (see Appendix E and the following requirement).
R147,The HATS-GUI shall search the SDT for a matching pattern.
R148,"When a match is found, the HATS-GUI shall highlight the matching displayed nodes and center the display on the left-most, top-level displayed node in the matching pattern."
R149,"If no matches are found, the HATS-GUI shall display a message stating “No Match Found.” [SRSreq 138] To initiate an SDT search, the user shall be able to use the following sequence of actions. • The user selects a set of nodes using the mouse cursor. • The user presses the Ctrl-Insert key combination. • The user selects the tree search option. • The HATS-GUI presents a prompt for entering the search pattern. • The user presses the Ctrl-Shift-Insert key combination. • The HATS-GUI fills the search pattern entry box with text concatenated from the nodes highlighted at the time of the Ctrl-Insert key press. • The user selects initiation of search. [SRSreq 139] When searching for SDT patterns, search begins at the SDT node corresponding to the node at the current keyboard cursor location."
R150,"When the end of the SDT is encountered, search will continue from the root of the SDT until arriving back at the starting location. [SRSreq 140] The HATS-GUI shall provide for repeating a search."
R151,Repeating a search shall find the next matching sub-tree starting from the current keyboard cursor location.
R152,Search terminates when either a matching sub-tree is found or the search arrives at the original starting location. [SRSreq 141] The HATS-GUI shall provide for repeating a search in the reverse direction.
R153,Search terminates when either a matching sub-tree is found or the search arrives at the original starting location. [SRSreq 142] The HATS-GUI shall provide the user the capability to search the text display for text sub-strings.
R154,The user shall be prompted to enter a text string
R155,The HATS-GUI shall search the text for a matching pattern.
R156,"When a match is found, the HATS-GUI shall highlight the matching text and center the display on the left-most element of the matching text."
R157,"If no matches are found, the HATS-GUI shall display a message stating “No Match Found.” [SRSreq 143] When searching for text patterns, search begins at the current keyboard cursor location and continues left-to-right, top-to-bottom until the end of the text is encountered."
R158,The output of the pretty-printer may contain text not found in terminal nodes of the SDT and may not contain text from every terminal SDT node.
R159,"In the most extreme cases, the output from the pretty printer may not have any tokens from the terminal nodes of the input SDT."
R160,[SRSreq 144] The formatting of the displayed pretty-printed text shall be faithful to the formatting represented in the pretty-printed text file.
R161,"No additional white space shall be inserted, and a fixed width font shall be used to display the text. [SRSreq 145] The user shall be able to select pretty-printed text files to display. [SRSreq 146] Selected pretty-printed text shall be displayed in a separate window. [SRSreq 147] Windows for pretty-printed text shall allow for scrolling left, right, up, and down if the text is too large to display in the window. [SRSreq 148] The HATS-GUI shall provide the user the capability to search the text display for text sub-strings."
R162,The user shall be prompted to enter a text string describing a string pattern.
R163,The keyboard cursor shall be set to this location.
R164,"If no matches are found, the HATS-GUI shall display a message stating “No Match Found.” [SRSreq 149] When searching for text patterns, search begins at the location of the keyboard cursor and continues left-to-right, top-to-bottom until the end of the text is encountered."
R165,Display of Errors [SRSreq 150] The HATS-GUI shall not halt as a result of any error messages received from HATS-SML. [SRSreq 151] The HATS-GUI shall collect error messages from HATS-SML in a single display area.
R166,"This display area shall be initially clear, and shall contain all error messages generated by HATS-SML since the HATS-GUI was started."
R167,The display area shall be a window accessible via a window tab.
R168,The display shall list all error received from HATS-SML in the order received.
R169,[SRSreq 152] Errors shall not be displayed until requested by the user. [SRSreq 153] The user shall be able to clear the error window without restarting the HATS-GUI.
R170,"Display of SDT and Pretty-Printed Text from Common Target file [SRSreq 154] When both an SDT and a pretty-printed text display corresponding to a single transformed target file are open, navigation in the SDT window shall result in navigation in the pretty-printed text window."
R171,"corresponds to terminal nodes of the SDT that are descendants of the SDT nodes that correspond to the selected display nodes. [SRSreq 155] When both an SDT and a pretty-printed text display corresponding to a single transformed target file are open, navigation in the pretty-printed text window shall result in navigation in the SDT display."
R172,"[SRSreq 156] The HATS-GUI shall display and SDT with 10,000 nodes in five seconds or less. [SRSreq 157] The HATS-GUI shall display 1,000,000 node SDTs in the same amount of time, plus or minus two seconds, as it takes to display a 10,000 node SDT. [SRSreq 158] The HATS-GUI shall allow a user to request transformations while HATS-SML is performing transformations or parsing. [SRSreq 159] The HATS-GUI shall allow a user to navigate through the display of an SDT with 10,000 nodes so that scrolling a screen width with any portion of the SDT displayed takes less than 3 seconds. [SRSreq 160] The complexity of the text search algorithm shall not exceed O(n2) for n nodes. [SRSreq 161] The complexity of the tree search algorithm shall not exceed O(n2) for n nodes. [SRSreq 162] The complexity of the scrolling algorithms for text and displayed graphs shall not exceed O(n 2) for n displayed nodes."
R173,[SRSreq 163] The user shall not be required to log in or authenticate his/her identity when using the system.
R174,"HATS-SML version 2.0 is intended to eliminate non-portable communications techniques. [SRSreq 164] The GUI shall run on Windows 2000, Sun Solaris 8, and Linux operating systems without modification of the Java code."
R175,[SRSreq 165] The system shall be implemented in the Java 1.3 programming language. [SRSreq 166] One algorithm for displaying an SDT has been implemented and found to be unacceptable: • Draw SDT into large virtual window with a smaller viewing area;
R176,This algorithm shall not be used in the HATS-GUI.
R177,The parser-program file must have been generated previously by MakeParser.
R178,The tlp-parser file must have been generated previously by MakeParser.
