item,text
R25,"The interfaces must be made customizable or user-co nfigurable to the extent possible. (e.g., the displayed columns in the table , move, resize, modify the appearance)."
R26,Such configurations must be saved in the user profile.
R27,The System user interface must be suitable for user s with special needs;
R28,The System must provide End User and Administrator functions which are easy to use and intuitive throughout.
R29,The System must allow persistent defaults for data entry where desirable.
R30,Frequently-executed System transactions must be des igned so that they can be completed with a small number of interactions (e.g. mouse clicks).
R31,"Where the System employs a graphical user interface , it must allow users to customise it."
R32,The user interfaces of the system should comply with Standard ISO 9241.
R33,ICT accessibility: ISO 9241-20 shall be the standar d for guidance on ICT accessibility.
R34,Software accessibility ISO 9241-17 1 shall be the standard for guidance on software accessibility.
R35,Content accessibility WCAG 1.0 shall be the standard used for guidance on content accessibility.
R36,Splash screens should be avoided unless they provid e useful content or feedback about the application state to the user.
R37,ISO 9241-303 shall be consulted for screen text legibility requirements.
R38,"Observing principles of human perception When desig ning application pages, the general principles of human perception should be ta ken into account."
R39,The International Standards mentioned below shall be co nsulted for guidance.
R40,Linking back to the home page or landmark pages: Ea ch page should contain a link leading to the home page of the application or to a landmark page that is easy to recognize for the user.
R41,Providing a site map: A separate navigation overvie w such as a site map should be provided for application showing the structure of the site in an overview form.
R42,Placing navigation components consistently: Navigat ion components should be placed consistently on the pages or in the framesets in the pages of the application.
R43,The user interfaces of the system should follow the guidelines specified under www.usability.gov
R44,The System must be available to users: • from <xx:00> to <xx:00>;
R45,The planned downtime for the System must not exceed <xx> hours per <rolling three month period>.
R46,Unplanned downtime for the System must not exceed < xx hours/minutes> per <rolling three month period>.
R47,The number of incidents of unplanned downtime for t he System must not exceed <x> per <rolling three month period>.
R48,"In the event of any software or hardware failure, i t must be possible to restore the System (with inline synchronization) within no more than <xx> hours."
R49,The System must provide adequate response times for commonly performed functions under both standard and peak conditions
R50,The System must be able to perform a simple search within 5-8 seconds and a advanced search (multiple search criteria) within 1 0-15 seconds regardless of the storage capacity or number of cases in the system.
R51,"The System must be able to retrieve and display wit hin 5-8 seconds the case which has been accessed within the previous 2 months, reg ardless of storage capacity or number of cases in the system."
R52,"The System must be able to retrieve and display wit hin 20 seconds the case which has not been accessed within the previous 2 months, regardless of storage capacity or number of cases in the system."
R53,"The System be scaleable and must not have any featu res which would preclude use in small or large police stations, with varying numbers of cases handled."
R54,The system should support multilingual interface
R55,The system should be designed in manner that operat ional data is not lost in case of any failure of equipment or communication network.
R56,The system should work even in an offline mode with the critical functionality
R57,The system should be designed to have satisfactory performance even in Police Stations connected on low-bandwidth
R58,The system should be implemented using Service Oriented Architecture (SOA) and have a modular design
R59,The system should be developed on Open Standards
R60,The system should be built on a common User Access and Authentication Service to ensure Single-Sign on for the end-user
R61,The system should be developed for a centralized deployment and maintenance
R62,The system should be developed to be deployed in a 3-tier datacenter architecture
R63,The system should be designed to have a n-tier arch itecture with the presentation logic separated from the business logic that is again separated from the data-access logic
R64,The system should be extensible to provide access t o the interfaces through PDA’s and mobile data terminals
R65,The system should adopt standardized formats and common metadata elements
R66,The system should be designed for access through br owser-based systems and must impose minimal requirements on the client device
R67,The system must support multiple types of communication services for remote access
R68,The system should have capability to support public access to a subset of data and functionality
R69,The system should support multi-tier authentication where required
R70,The system should support SSL encrypted connections
R71,The system should support secure virtual private network connections
R72,"The system should use HTTPS as the communication pr otocol, i.e., HTTP over an encrypted secure socket layer (SSL)"
R73,The system should run on multiple browsers
R74,The system should support selective encryption of the stored data
R75,The system should ensure secure transmission of dat a over the network and utilize SSL and 2-way digital signatures
R76,The system should ensure high standards of security and access control through:
R77,The system should ensure high scalability and performance through:
R78,The search results should be fetched from the datab ase in batches of 10 or 20 maximum as configured within the application
