item,text
R35,Supportability Requirement Id Description SUP-01 The system should be able to support other types of message structure to cover f.i. a future driving licence network and correlated activities.
R36,SUP-02 The system must be maintainable and extensible.
R37,SUP-03 The system must be designed so that it can migrate to upgraded hardware or new versions of the operating systems involved.
R38,SUP-04 The system must be able to migrate to other type of network than the one proposed by TESTA-II.
R39,"SUP-05 The system must provide solutions/rules regarding data encoding problems such as supporting different character sets, name truncation rules, name matching in case of misspelling,..."
R40,Design Requirement Id Description DES-01 The system must be designed and documented with the expectation that its operational lifetime will be many years.
R41,Interface Requirement Id Description INT-01 The system must use the network facilities supplied by the TESTA-II network.
R42,INT-02 The algorithms in the software will be based on existing techniques and no research will be required to develop new algorithms under this contract.
R43,INT-03 Most of the functionality of the new software shall depend on pre-existing or commercially available software.
R44,Pre-conditions · The CIA requesting the check must be defined in TACHOnet · The CIA requesting the check must send its request using the TACHOnet required request format (see below)
R45,"As an issued card must be unique, it should only exist in a single CIA data store (the CIA having issued the card)."
R46,Pre-conditions · The CIA sending the request must be defined in TACHOnet · The CIA sending the request must send it using the TACHOnet required request format (see below)
R47,Pre-conditions · The CIA sending the declaration must be defined in TACHOnet · The CIA sending the declaration must send its request using the TACHOnet required request format (see below) · The CIA sending the declaration must have first sent a request for checking the card number for which status modification is required.
R48,"The CIA must then warn, via TACHOnet, the Member State having issued the driving license that a brand new card has been issued with the corresponding driving license number."
R49,"The Member State CIAs should call upon this service when issuing a new card to get the computed search keys of the driver’s surname and first names, so to store them in their local data store."
R50,Special requirements · This service should ideally be implemented as a synchronous Web Service. · A web interface on top of this service should also be supplied to allow the CIA users to access manually these TACHOnet services. · A downloadable version of this web service should also be made available (.NET and Java) to enable some Member States to install and use it locally.
R51,Pre-conditions The caller must provide the mandatory input parameters.
R52,"Therefore, every CIA Administrator must be assigned a user account and password."
R53,Alternate flows · TACHOnet should also provide a system for archiving (e.g. removing from the tracking database to flat files) “ old” messages (how long should TACHOnet keep track of a message?).
R54,"Special requirements · Great care must be taken when setting up the tracking database in terms of sizing (the number of the messages to be logged might quickly become huge), performance (the logging mechanism should not impede overall TACHOnet system performance), availability (high availability must be guaranteed through clustering,...) and security (restricted administrative access, strong backup policies,...)."
R55,"Stakeholders and Interests In order to constantly keep the availability and performance of the TACHOnet system at an optimum level, the system must constantly monitored and should raise some events when particular problems (HW, SW,… ) occur."
