item,text
R66,"SOFTWARE REQUIREMENTS SPECIFICATION 25 Requirement Number Requirement Description Rationale or Comments a HOV from a list and provide the following information: • Target HOV • Plan C2C-CG-12 Once an Center is selected, the user shall be able to select a School Zone from a list and provide the following information: • Target School Zone • Plan C2C-CG-13 Once an Center is selected, the user shall be able to select a Reversible Lane from a list and provide the following information: • Target Reversible Lane • Plan C2C-CG-14 Once an Center is selected, the user shall be able to select a Dynamic Lane from a list and provide the following information: • Target Dynamic Lane • Plan C2C-CG-15 For each device command/control status request sent by the Remote GUI, the status returned from the network identifier will be displayed in a scrollable list on the GUI."
R67,Computer Resource Requirements Requirement Number Requirement Description Rationale or Comments C2C-DC-01 The C2C Server shall execute in a Microsoft Windows NT environment.
R68,C2C-DC-02 A DATEX/ASN runtime library shall be available on any computer communicating to the C2C project.
R69,C2C-DC-03 The web server application shall use ESRI's ARC Internet Map Server (ARC IMS) product for creating of map images.
R70,Design and Implementation Requirements Requirement Number Requirement Description Rationale or Comments C2C-DC-04 The C2C shall execute in a Microsoft Windows NT environment.
R71,C2C-DC-05 The C2C shall be implemented in the C/C++ programming language.
R72,C2C-DC-06 The C2C web interface shall be implemented using C/C++ and ESRI ARC IMS.
R73,C2C-DC-07 The Incident GUI shall be implemented using C/C++ and ESRI Map Objects.
R74,C2C-DC-08 The Remote Control GUI shall be implemented using C/C++ and ESRI Map Objects.
R75,The C2C Project shall be capable of operating in one of two modes: normal mode for normal operations or in test mode for development and testing.
R76,Required States and Modes Requirements Requirement Number Requirement Description Rationale or Comments C2C-OP-01 The C2C shall be able to operate in normal mode.
R77,C2C-OP-02 The C2C shall be able to operate in test mode.
